cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
21.873020697247203,12.0,0.08333333333333333,0.3,50.0,0.02,30.0,2.0,a,call
21.088553541761204,12.0,0.08333333333333333,0.3,50.0,0.02,31.0,2.0,a,call
20.304086386275213,12.0,0.08333333333333333,0.3,50.0,0.02,32.0,2.0,a,call
19.519619230789218,12.0,0.08333333333333333,0.3,50.0,0.02,33.0,2.0,a,call
18.735152075303226,12.0,0.08333333333333333,0.3,50.0,0.02,34.0,2.0,a,call
17.95068491981723,12.0,0.08333333333333333,0.3,50.0,0.02,35.0,2.0,a,call
17.244672015004337,12.0,0.08333333333333333,0.3,50.0,0.02,36.0,2.0,a,call
16.583004066410393,12.0,0.08333333333333333,0.3,50.0,0.02,37.0,2.0,a,call
15.921336117816454,12.0,0.08333333333333333,0.3,50.0,0.02,38.0,2.0,a,call
15.259668169222511,12.0,0.08333333333333333,0.3,50.0,0.02,39.0,2.0,a,call
14.59800022062857,12.0,0.08333333333333333,0.3,50.0,0.02,40.0,2.0,a,call
13.936332272034631,12.0,0.08333333333333333,0.3,50.0,0.02,41.0,2.0,a,call
13.274664323440689,12.0,0.08333333333333333,0.3,50.0,0.02,42.0,2.0,a,call
12.754761141521634,12.0,0.08333333333333333,0.3,50.0,0.02,43.0,2.0,a,call
12.242045906605055,12.0,0.08333333333333333,0.3,50.0,0.02,44.0,2.0,a,call
11.729330671688478,12.0,0.08333333333333333,0.3,50.0,0.02,45.0,2.0,a,call
11.216615436771894,12.0,0.08333333333333333,0.3,50.0,0.02,46.0,2.0,a,call
10.703900201855317,12.0,0.08333333333333333,0.3,50.0,0.02,47.0,2.0,a,call
10.191184966938744,12.0,0.08333333333333333,0.3,50.0,0.02,48.0,2.0,a,call
9.678469732022164,12.0,0.08333333333333333,0.3,50.0,0.02,49.0,2.0,a,call
9.165754497105594,12.0,0.08333333333333333,0.3,50.0,0.02,50.0,2.0,a,call
8.80682923968337,12.0,0.08333333333333333,0.3,50.0,0.02,51.0,2.0,a,call
8.44790398226115,12.0,0.08333333333333333,0.3,50.0,0.02,52.0,2.0,a,call
8.088978724838933,12.0,0.08333333333333333,0.3,50.0,0.02,53.0,2.0,a,call
7.730053467416714,12.0,0.08333333333333333,0.3,50.0,0.02,54.0,2.0,a,call
7.371128209994496,12.0,0.08333333333333333,0.3,50.0,0.02,55.0,2.0,a,call
7.012202952572276,12.0,0.08333333333333333,0.3,50.0,0.02,56.0,2.0,a,call
6.653277695150059,12.0,0.08333333333333333,0.3,50.0,0.02,57.0,2.0,a,call
6.294352437727838,12.0,0.08333333333333333,0.3,50.0,0.02,58.0,2.0,a,call
5.935427180305619,12.0,0.08333333333333333,0.3,50.0,0.02,59.0,2.0,a,call
5.650170717842614,12.0,0.08333333333333333,0.3,50.0,0.02,60.0,2.0,a,call
5.4265409861224185,12.0,0.08333333333333333,0.3,50.0,0.02,61.0,2.0,a,call
5.202911254402223,12.0,0.08333333333333333,0.3,50.0,0.02,62.0,2.0,a,call
4.979281522682026,12.0,0.08333333333333333,0.3,50.0,0.02,63.0,2.0,a,call
4.755651790961835,12.0,0.08333333333333333,0.3,50.0,0.02,64.0,2.0,a,call
4.532022059241639,12.0,0.08333333333333333,0.3,50.0,0.02,65.0,2.0,a,call
4.308392327521443,12.0,0.08333333333333333,0.3,50.0,0.02,66.0,2.0,a,call
4.08476259580125,12.0,0.08333333333333333,0.3,50.0,0.02,67.0,2.0,a,call
3.861132864081052,12.0,0.08333333333333333,0.3,50.0,0.02,68.0,2.0,a,call
3.6375031323608567,12.0,0.08333333333333333,0.3,50.0,0.02,69.0,2.0,a,call
3.4138734006406626,12.0,0.08333333333333333,0.3,50.0,0.02,70.0,2.0,a,call
3.220726459328364,12.0,0.08333333333333333,0.3,50.0,0.02,71.0,2.0,a,call
3.0984098246027836,12.0,0.08333333333333333,0.3,50.0,0.02,72.0,2.0,a,call
2.976093189877201,12.0,0.08333333333333333,0.3,50.0,0.02,73.0,2.0,a,call
2.8537765551516197,12.0,0.08333333333333333,0.3,50.0,0.02,74.0,2.0,a,call
2.731459920426038,12.0,0.08333333333333333,0.3,50.0,0.02,75.0,2.0,a,call
2.609143285700456,12.0,0.08333333333333333,0.3,50.0,0.02,76.0,2.0,a,call
2.486826650974875,12.0,0.08333333333333333,0.3,50.0,0.02,77.0,2.0,a,call
2.364510016249293,12.0,0.08333333333333333,0.3,50.0,0.02,78.0,2.0,a,call
2.2421933815237116,12.0,0.08333333333333333,0.3,50.0,0.02,79.0,2.0,a,call
0.7125309231575915,12.0,0.08333333333333333,0.3,50.0,0.02,30.0,2.0,a,put
