cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
6.391471143707163,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,1.0,a,call
8.269794287415063,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,2.0,a,call
9.637164191797199,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,3.0,a,call
10.742166116716557,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,4.0,a,call
11.681340825510897,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,5.0,a,call
12.504199840906745,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,6.0,a,call
13.239973062345236,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,7.0,a,call
13.907414458070019,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,8.0,a,call
14.519810647018423,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,9.0,a,call
15.086419543801714,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,10.0,a,call
15.61452223202145,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,11.0,a,call
16.10944845913569,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,12.0,a,call
16.575621531236298,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,13.0,a,call
17.016533220420918,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,14.0,a,call
17.434965969114,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,15.0,a,call
17.833392932290298,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,16.0,a,call
18.21378207344375,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,17.0,a,call
18.577784400840113,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,18.0,a,call
18.926922896126783,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,19.0,a,call
19.26246248614514,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,20.0,a,call
19.585450568993068,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,21.0,a,call
19.896874485836744,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,22.0,a,call
20.19762325646286,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,23.0,a,call
20.48843673269124,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,24.0,a,call
20.76995950516145,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,25.0,a,call
21.04281717428052,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,26.0,a,call
21.30758030954176,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,27.0,a,call
21.56473557211355,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,28.0,a,call
21.814705414007744,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,29.0,a,call
22.05789926408732,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,30.0,a,call
22.294710175728056,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,31.0,a,call
22.52548735362919,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,32.0,a,call
22.750532642637893,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,33.0,a,call
22.97011884448868,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,34.0,a,call
23.184516973516498,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,35.0,a,call
23.3939876892381,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,36.0,a,call
23.598765899834294,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,37.0,a,call
23.79905812011298,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,38.0,a,call
23.995049823546886,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,39.0,a,call
24.186923246587757,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,40.0,a,call
24.374859579041466,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,41.0,a,call
24.559028264166034,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,42.0,a,call
24.73958174964048,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,43.0,a,call
24.916655906252736,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,44.0,a,call
25.090375952259915,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,45.0,a,call
25.260866970952687,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,46.0,a,call
25.42825358974286,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,47.0,a,call
25.592653522421035,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,48.0,a,call
25.754174182660115,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,49.0,a,call
25.912912459650595,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,50.0,a,call
26.06895685342498,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,51.0,a,call
26.222393796067614,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,52.0,a,call
26.37331098943525,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,53.0,a,call
26.5217941570633,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,54.0,a,call
26.66792364919563,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,55.0,a,call
26.811773140674028,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,56.0,a,call
26.953409765581384,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,57.0,a,call
27.092895588989716,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,58.0,a,call
27.230291620122877,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,59.0,a,call
27.36565993091343,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,60.0,a,call
27.49906179263197,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,61.0,a,call
27.630555424734194,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,62.0,a,call
27.760194895952402,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,63.0,a,call
27.888029964477457,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,64.0,a,call
28.01410649123034,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,65.0,a,call
28.13846813232728,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,66.0,a,call
28.261158908935823,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,67.0,a,call
28.382223435440526,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,68.0,a,call
28.50170545435084,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,69.0,a,call
28.619646564887365,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,70.0,a,call
28.736085631264594,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,71.0,a,call
28.851058698135684,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,72.0,a,call
28.964599212821025,12.0,0.08333333333333333,0.3,50.0,-0.03,48.0,73.0,a,call
