cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
0.32551588006663174,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,1.0,a,call
1.2719260480788777,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,2.0,a,call
2.310992325041744,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,3.0,a,call
3.328266341534655,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,4.0,a,call
4.299770991859051,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,5.0,a,call
5.221777728526845,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,6.0,a,call
6.096045438229934,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,7.0,a,call
6.925797153821705,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,8.0,a,call
7.7144670586844315,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,9.0,a,call
8.465298107801061,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,10.0,a,call
9.181228695236433,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,11.0,a,call
9.864881720369784,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,12.0,a,call
10.518588711158326,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,13.0,a,call
11.14442362682709,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,14.0,a,call
11.744236780372592,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,15.0,a,call
12.3196855425164,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,16.0,a,call
12.872260969751474,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,17.0,a,call
13.403310462168447,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,18.0,a,call
13.914056891040822,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,19.0,a,call
14.405614711362553,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,20.0,a,call
14.879003547991234,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,21.0,a,call
15.335159683093053,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,22.0,a,call
15.774945805473616,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,23.0,a,call
16.199159320202636,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,24.0,a,call
16.60853946328485,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,25.0,a,call
17.003773421401295,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,26.0,a,call
17.385501620117957,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,27.0,a,call
17.754322314233978,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,28.0,a,call
18.110795589912794,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,29.0,a,call
18.455446868832745,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,30.0,a,call
18.788769988903773,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,31.0,a,call
19.111229923383483,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,32.0,a,call
19.423265189894252,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,33.0,a,call
19.725289992417384,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,34.0,a,call
20.017696132443053,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,35.0,a,call
20.300854719787143,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,36.0,a,call
20.575117708909502,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,37.0,a,call
20.840819282694707,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,38.0,a,call
21.098277102434157,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,39.0,a,call
21.347793440058833,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,40.0,a,call
21.58965620641715,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,41.0,a,call
21.824139887495654,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,42.0,a,call
22.05150639887879,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,43.0,a,call
22.27200586738628,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,44.0,a,call
22.485877347673103,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,45.0,a,call
22.693349480592165,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,46.0,a,call
22.89464109927677,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,47.0,a,call
23.089961788176673,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,48.0,a,call
