cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
5.499452698263355,12.0,0.08333333333333333,0.3,30.0,0.02,30.0,2.0,a,call
5.140527440841136,12.0,0.08333333333333333,0.3,30.0,0.02,31.0,2.0,a,call
4.781602183418917,12.0,0.08333333333333333,0.3,30.0,0.02,32.0,2.0,a,call
4.4226769259967,12.0,0.08333333333333333,0.3,30.0,0.02,33.0,2.0,a,call
4.063751668574478,12.0,0.08333333333333333,0.3,30.0,0.02,34.0,2.0,a,call
3.70482641115226,12.0,0.08333333333333333,0.3,30.0,0.02,35.0,2.0,a,call
3.3901024307055687,12.0,0.08333333333333333,0.3,30.0,0.02,36.0,2.0,a,call
3.166472698985374,12.0,0.08333333333333333,0.3,30.0,0.02,37.0,2.0,a,call
2.9428429672651792,12.0,0.08333333333333333,0.3,30.0,0.02,38.0,2.0,a,call
2.7192132355449834,12.0,0.08333333333333333,0.3,30.0,0.02,39.0,2.0,a,call
2.495583503824788,12.0,0.08333333333333333,0.3,30.0,0.02,40.0,2.0,a,call
2.2719537721045944,12.0,0.08333333333333333,0.3,30.0,0.02,41.0,2.0,a,call
2.048324040384398,12.0,0.08333333333333333,0.3,30.0,0.02,42.0,2.0,a,call
1.883509221706786,12.0,0.08333333333333333,0.3,30.0,0.02,43.0,2.0,a,call
1.7611925869812044,12.0,0.08333333333333333,0.3,30.0,0.02,44.0,2.0,a,call
1.6388759522556224,12.0,0.08333333333333333,0.3,30.0,0.02,45.0,2.0,a,call
1.5165593175300414,12.0,0.08333333333333333,0.3,30.0,0.02,46.0,2.0,a,call
1.39424268280446,12.0,0.08333333333333333,0.3,30.0,0.02,47.0,2.0,a,call
1.2719260480788777,12.0,0.08333333333333333,0.3,30.0,0.02,48.0,2.0,a,call
1.149609413353297,12.0,0.08333333333333333,0.3,30.0,0.02,49.0,2.0,a,call
1.027292778627715,12.0,0.08333333333333333,0.3,30.0,0.02,50.0,2.0,a,call
0.9409327549221299,12.0,0.08333333333333333,0.3,30.0,0.02,51.0,2.0,a,call
0.8829873549307489,12.0,0.08333333333333333,0.3,30.0,0.02,52.0,2.0,a,call
0.8250419549393685,12.0,0.08333333333333333,0.3,30.0,0.02,53.0,2.0,a,call
0.7670965549479875,12.0,0.08333333333333333,0.3,30.0,0.02,54.0,2.0,a,call
0.7091511549566067,12.0,0.08333333333333333,0.3,30.0,0.02,55.0,2.0,a,call
0.6512057549652261,12.0,0.08333333333333333,0.3,30.0,0.02,56.0,2.0,a,call
0.5932603549738453,12.0,0.08333333333333333,0.3,30.0,0.02,57.0,2.0,a,call
0.5353149549824646,12.0,0.08333333333333333,0.3,30.0,0.02,58.0,2.0,a,call
0.47736955499108386,12.0,0.08333333333333333,0.3,30.0,0.02,59.0,2.0,a,call
0.4201008152227105,12.0,0.08333333333333333,0.3,30.0,0.02,60.0,2.0,a,call
0.3966643754408679,12.0,0.08333333333333333,0.3,30.0,0.02,61.0,2.0,a,call
0.37322793565902546,12.0,0.08333333333333333,0.3,30.0,0.02,62.0,2.0,a,call
0.34979149587718295,12.0,0.08333333333333333,0.3,30.0,0.02,63.0,2.0,a,call
0.3263550560953404,12.0,0.08333333333333333,0.3,30.0,0.02,64.0,2.0,a,call
0.302918616313498,12.0,0.08333333333333333,0.3,30.0,0.02,65.0,2.0,a,call
0.27948217653165536,12.0,0.08333333333333333,0.3,30.0,0.02,66.0,2.0,a,call
0.256045736749813,12.0,0.08333333333333333,0.3,30.0,0.02,67.0,2.0,a,call
0.23260929696797047,12.0,0.08333333333333333,0.3,30.0,0.02,68.0,2.0,a,call
0.209172857186128,12.0,0.08333333333333333,0.3,30.0,0.02,69.0,2.0,a,call
0.18573641740428545,12.0,0.08333333333333333,0.3,30.0,0.02,70.0,2.0,a,call
0.16229997762244303,12.0,0.08333333333333333,0.3,30.0,0.02,71.0,2.0,a,call
0.14933721766734107,12.0,0.08333333333333333,0.3,30.0,0.02,72.0,2.0,a,call
0.14137790846487694,12.0,0.08333333333333333,0.3,30.0,0.02,73.0,2.0,a,call
0.13341859926241278,12.0,0.08333333333333333,0.3,30.0,0.02,74.0,2.0,a,call
0.1254592900599487,12.0,0.08333333333333333,0.3,30.0,0.02,75.0,2.0,a,call
0.11749998085748453,12.0,0.08333333333333333,0.3,30.0,0.02,76.0,2.0,a,call
0.10954067165502042,12.0,0.08333333333333333,0.3,30.0,0.02,77.0,2.0,a,call
0.10158136245255629,12.0,0.08333333333333333,0.3,30.0,0.02,78.0,2.0,a,call
0.09362205325009217,12.0,0.08333333333333333,0.3,30.0,0.02,79.0,2.0,a,call
6.195483023122044,12.0,0.08333333333333333,0.3,31.0,0.02,30.0,2.0,a,call
5.682767788205466,12.0,0.08333333333333333,0.3,31.0,0.02,31.0,2.0,a,call
5.323842530783248,12.0,0.08333333333333333,0.3,31.0,0.02,32.0,2.0,a,call
4.96491727336103,12.0,0.08333333333333333,0.3,31.0,0.02,33.0,2.0,a,call
4.605992015938809,12.0,0.08333333333333333,0.3,31.0,0.02,34.0,2.0,a,call
4.247066758516589,12.0,0.08333333333333333,0.3,31.0,0.02,35.0,2.0,a,call
3.888141501094371,12.0,0.08333333333333333,0.3,31.0,0.02,36.0,2.0,a,call
3.547831791406462,12.0,0.08333333333333333,0.3,31.0,0.02,37.0,2.0,a,call
3.324202059686264,12.0,0.08333333333333333,0.3,31.0,0.02,38.0,2.0,a,call
3.1005723279660695,12.0,0.08333333333333333,0.3,31.0,0.02,39.0,2.0,a,call
2.876942596245875,12.0,0.08333333333333333,0.3,31.0,0.02,40.0,2.0,a,call
2.6533128645256796,12.0,0.08333333333333333,0.3,31.0,0.02,41.0,2.0,a,call
2.429683132805484,12.0,0.08333333333333333,0.3,31.0,0.02,42.0,2.0,a,call
2.2060534010852897,12.0,0.08333333333333333,0.3,31.0,0.02,43.0,2.0,a,call
1.999296737478097,12.0,0.08333333333333333,0.3,31.0,0.02,44.0,2.0,a,call
1.8769801027525161,12.0,0.08333333333333333,0.3,31.0,0.02,45.0,2.0,a,call
1.7546634680269335,12.0,0.08333333333333333,0.3,31.0,0.02,46.0,2.0,a,call
1.6323468333013527,12.0,0.08333333333333333,0.3,31.0,0.02,47.0,2.0,a,call
1.5100301985757707,12.0,0.08333333333333333,0.3,31.0,0.02,48.0,2.0,a,call
1.3877135638501894,12.0,0.08333333333333333,0.3,31.0,0.02,49.0,2.0,a,call
1.265396929124608,12.0,0.08333333333333333,0.3,31.0,0.02,50.0,2.0,a,call
1.1430802943990261,12.0,0.08333333333333333,0.3,31.0,0.02,51.0,2.0,a,call
1.020763659673445,12.0,0.08333333333333333,0.3,31.0,0.02,52.0,2.0,a,call
0.9549135600887866,12.0,0.08333333333333333,0.3,31.0,0.02,53.0,2.0,a,call
0.8969681600974055,12.0,0.08333333333333333,0.3,31.0,0.02,54.0,2.0,a,call
0.8390227601060253,12.0,0.08333333333333333,0.3,31.0,0.02,55.0,2.0,a,call
0.7810773601146445,12.0,0.08333333333333333,0.3,31.0,0.02,56.0,2.0,a,call
0.7231319601232634,12.0,0.08333333333333333,0.3,31.0,0.02,57.0,2.0,a,call
0.6651865601318829,12.0,0.08333333333333333,0.3,31.0,0.02,58.0,2.0,a,call
0.607241160140502,12.0,0.08333333333333333,0.3,31.0,0.02,59.0,2.0,a,call
0.5492957601491214,12.0,0.08333333333333333,0.3,31.0,0.02,60.0,2.0,a,call
0.4913503601577406,12.0,0.08333333333333333,0.3,31.0,0.02,61.0,2.0,a,call
0.434104175730134,12.0,0.08333333333333333,0.3,31.0,0.02,62.0,2.0,a,call
0.41066773594829153,12.0,0.08333333333333333,0.3,31.0,0.02,63.0,2.0,a,call
0.38723129616644897,12.0,0.08333333333333333,0.3,31.0,0.02,64.0,2.0,a,call
0.36379485638460635,12.0,0.08333333333333333,0.3,31.0,0.02,65.0,2.0,a,call
0.34035841660276406,12.0,0.08333333333333333,0.3,31.0,0.02,66.0,2.0,a,call
0.3169219768209216,12.0,0.08333333333333333,0.3,31.0,0.02,67.0,2.0,a,call
0.29348553703907904,12.0,0.08333333333333333,0.3,31.0,0.02,68.0,2.0,a,call
0.2700490972572365,12.0,0.08333333333333333,0.3,31.0,0.02,69.0,2.0,a,call
0.2466126574753941,12.0,0.08333333333333333,0.3,31.0,0.02,70.0,2.0,a,call
0.22317621769355153,12.0,0.08333333333333333,0.3,31.0,0.02,71.0,2.0,a,call
0.1997397779117091,12.0,0.08333333333333333,0.3,31.0,0.02,72.0,2.0,a,call
0.17630333812986665,12.0,0.08333333333333333,0.3,31.0,0.02,73.0,2.0,a,call
0.1574988486039048,12.0,0.08333333333333333,0.3,31.0,0.02,74.0,2.0,a,call
0.14953953940144069,12.0,0.08333333333333333,0.3,31.0,0.02,75.0,2.0,a,call
0.1415802301989765,12.0,0.08333333333333333,0.3,31.0,0.02,76.0,2.0,a,call
0.13362092099651243,12.0,0.08333333333333333,0.3,31.0,0.02,77.0,2.0,a,call
0.12566161179404825,12.0,0.08333333333333333,0.3,31.0,0.02,78.0,2.0,a,call
0.11770230259158411,12.0,0.08333333333333333,0.3,31.0,0.02,79.0,2.0,a,call
6.891513347980734,12.0,0.08333333333333333,0.3,32.0,0.02,30.0,2.0,a,call
6.378798113064157,12.0,0.08333333333333333,0.3,32.0,0.02,31.0,2.0,a,call
5.866082878147577,12.0,0.08333333333333333,0.3,32.0,0.02,32.0,2.0,a,call
5.507157620725359,12.0,0.08333333333333333,0.3,32.0,0.02,33.0,2.0,a,call
