cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
18.743981701788726,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,1.0,a,call
27.38983743230474,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,2.0,a,call
33.40302910105572,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,3.0,a,call
37.74447284940824,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,4.0,a,call
40.92302133363471,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,5.0,a,call
43.2658151226307,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,6.0,a,call
44.998910140332654,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,7.0,a,call
46.28371331009054,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,8.0,a,call
47.23742274472038,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,9.0,a,call
47.94593649421451,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,10.0,a,call
48.47256134281259,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,11.0,a,call
48.86411407534122,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,12.0,a,call
49.15529210653002,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,13.0,a,call
49.37184706830913,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,14.0,a,call
49.532908860836535,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,15.0,a,call
49.652696902241935,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,16.0,a,call
49.74178468647979,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,17.0,a,call
49.80803648721566,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,18.0,a,call
49.85730232594558,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,19.0,a,call
5.812196014312177,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,1.0,a,put
6.789727333497187,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,2.0,a,put
7.190415624651358,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,3.0,a,put
7.381365877443402,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,4.0,a,put
7.4810381745874475,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,5.0,a,put
7.536229131785717,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,6.0,a,put
7.568074164486819,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,7.0,a,put
7.587014057096142,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,8.0,a,put
7.598543332383585,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,9.0,a,put
7.605691654703555,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,10.0,a,put
7.610190199596161,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,11.0,a,put
7.613056266403703,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,12.0,a,put
7.614901259997808,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,13.0,a,put
7.616099473746156,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,14.0,a,put
7.616883585520647,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,15.0,a,put
7.617400121832642,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,16.0,a,put
7.6177423808977975,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,17.0,a,put
7.6179703372973195,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,18.0,a,put
7.618122865275383,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,19.0,a,put
18.743981701788726,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,1.0,e,call
27.38983743230474,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,2.0,e,call
33.40302910105572,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,3.0,e,call
37.74447284940824,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,4.0,e,call
40.92302133363471,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,5.0,e,call
43.2658151226307,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,6.0,e,call
44.998910140332654,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,7.0,e,call
46.28371331009054,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,8.0,e,call
47.23742274472038,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,9.0,e,call
47.94593649421451,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,10.0,e,call
48.47256134281259,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,11.0,e,call
48.86411407534122,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,12.0,e,call
49.15529210653002,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,13.0,e,call
49.37184706830913,12.0,0.08333333333333333,0.6,50.0,0.3,48.0,14.0,e,call
