cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
0.0,12.0,0.08333333333333333,0.05,30.0,0.02,48.0,2.0,a,call
0.0,12.0,0.08333333333333333,0.05,31.0,0.02,48.0,2.0,a,call
0.0,12.0,0.08333333333333333,0.05,32.0,0.02,48.0,2.0,a,call
0.0,12.0,0.08333333333333333,0.05,33.0,0.02,48.0,2.0,a,call
5.0992321372910904e-08,12.0,0.08333333333333333,0.05,34.0,0.02,48.0,2.0,a,call
2.0671054335703147e-06,12.0,0.08333333333333333,0.05,35.0,0.02,48.0,2.0,a,call
2.6721436211218704e-05,12.0,0.08333333333333333,0.05,36.0,0.02,48.0,2.0,a,call
0.0002068406307081913,12.0,0.08333333333333333,0.05,37.0,0.02,48.0,2.0,a,call
0.001294801841488056,12.0,0.08333333333333333,0.05,38.0,0.02,48.0,2.0,a,call
0.005805056319142163,12.0,0.08333333333333333,0.05,39.0,0.02,48.0,2.0,a,call
0.019975447351125858,12.0,0.08333333333333333,0.05,40.0,0.02,48.0,2.0,a,call
0.05532031939028401,12.0,0.08333333333333333,0.05,41.0,0.02,48.0,2.0,a,call
0.12803548491363798,12.0,0.08333333333333333,0.05,42.0,0.02,48.0,2.0,a,call
0.2560744017230189,12.0,0.08333333333333333,0.05,43.0,0.02,48.0,2.0,a,call
0.4590897193237197,12.0,0.08333333333333333,0.05,44.0,0.02,48.0,2.0,a,call
0.7957566338035357,12.0,0.08333333333333333,0.05,45.0,0.02,48.0,2.0,a,call
1.2454181182016202,12.0,0.08333333333333333,0.05,46.0,0.02,48.0,2.0,a,call
1.8021657362713122,12.0,0.08333333333333333,0.05,47.0,0.02,48.0,2.0,a,call
2.459573889912659,12.0,0.08333333333333333,0.05,48.0,0.02,48.0,2.0,a,call
3.2513826434405124,12.0,0.08333333333333333,0.05,49.0,0.02,48.0,2.0,a,call
4.100805780585526,12.0,0.08333333333333333,0.05,50.0,0.02,48.0,2.0,a,call
4.998344418365011,12.0,0.08333333333333333,0.05,51.0,0.02,48.0,2.0,a,call
5.94666879744269,12.0,0.08333333333333333,0.05,52.0,0.02,48.0,2.0,a,call
6.915402941649869,12.0,0.08333333333333333,0.05,53.0,0.02,48.0,2.0,a,call
7.8964580770222925,12.0,0.08333333333333333,0.05,54.0,0.02,48.0,2.0,a,call
8.889453130652596,12.0,0.08333333333333333,0.05,55.0,0.02,48.0,2.0,a,call
9.8851920550761,12.0,0.08333333333333333,0.05,56.0,0.02,48.0,2.0,a,call
10.883204731373684,12.0,0.08333333333333333,0.05,57.0,0.02,48.0,2.0,a,call
11.882624683160973,12.0,0.08333333333333333,0.05,58.0,0.02,48.0,2.0,a,call
12.882256989972781,12.0,0.08333333333333333,0.05,59.0,0.02,48.0,2.0,a,call
13.882171234925693,12.0,0.08333333333333333,0.05,60.0,0.02,48.0,2.0,a,call
14.882124492045355,12.0,0.08333333333333333,0.05,61.0,0.02,48.0,2.0,a,call
15.882112292360837,12.0,0.08333333333333333,0.05,62.0,0.02,48.0,2.0,a,call
16.882108407832774,12.0,0.08333333333333333,0.05,63.0,0.02,48.0,2.0,a,call
17.882107158786194,12.0,0.08333333333333333,0.05,64.0,0.02,48.0,2.0,a,call
18.882107002662597,12.0,0.08333333333333333,0.05,65.0,0.02,48.0,2.0,a,call
19.8821069255222,12.0,0.08333333333333333,0.05,66.0,0.02,48.0,2.0,a,call
20.88210692293886,12.0,0.08333333333333333,0.05,67.0,0.02,48.0,2.0,a,call
21.882106920688358,12.0,0.08333333333333333,0.05,68.0,0.02,48.0,2.0,a,call
22.88210692068836,12.0,0.08333333333333333,0.05,69.0,0.02,48.0,2.0,a,call
23.882106920688358,12.0,0.08333333333333333,0.05,70.0,0.02,48.0,2.0,a,call
24.88210692068835,12.0,0.08333333333333333,0.05,71.0,0.02,48.0,2.0,a,call
25.882106920688358,12.0,0.08333333333333333,0.05,72.0,0.02,48.0,2.0,a,call
26.882106920688354,12.0,0.08333333333333333,0.05,73.0,0.02,48.0,2.0,a,call
27.882106920688358,12.0,0.08333333333333333,0.05,74.0,0.02,48.0,2.0,a,call
28.882106920688347,12.0,0.08333333333333333,0.05,75.0,0.02,48.0,2.0,a,call
29.882106920688337,12.0,0.08333333333333333,0.05,76.0,0.02,48.0,2.0,a,call
30.882106920688354,12.0,0.08333333333333333,0.05,77.0,0.02,48.0,2.0,a,call
31.882106920688337,12.0,0.08333333333333333,0.05,78.0,0.02,48.0,2.0,a,call
32.88210692068834,12.0,0.08333333333333333,0.05,79.0,0.02,48.0,2.0,a,call
0.000836009596187969,12.0,0.08333333333333333,0.1,30.0,0.02,48.0,2.0,a,call
0.0027518051376972073,12.0,0.08333333333333333,0.1,31.0,0.02,48.0,2.0,a,call
0.005130043806708456,12.0,0.08333333333333333,0.1,32.0,0.02,48.0,2.0,a,call
0.013774337521513394,12.0,0.08333333333333333,0.1,33.0,0.02,48.0,2.0,a,call
0.02365136905498167,12.0,0.08333333333333333,0.1,34.0,0.02,48.0,2.0,a,call
0.05050329048184524,12.0,0.08333333333333333,0.1,35.0,0.02,48.0,2.0,a,call
0.07878114932222229,12.0,0.08333333333333333,0.1,36.0,0.02,48.0,2.0,a,call
0.145538975344292,12.0,0.08333333333333333,0.1,37.0,0.02,48.0,2.0,a,call
0.21229680136636195,12.0,0.08333333333333333,0.1,38.0,0.02,48.0,2.0,a,call
0.3449775235080905,12.0,0.08333333333333333,0.1,39.0,0.02,48.0,2.0,a,call
0.48512786467768826,12.0,0.08333333333333333,0.1,40.0,0.02,48.0,2.0,a,call
0.6968349544757219,12.0,0.08333333333333333,0.1,41.0,0.02,48.0,2.0,a,call
0.949908949260419,12.0,0.08333333333333333,0.1,42.0,0.02,48.0,2.0,a,call
1.2373651518408668,12.0,0.08333333333333333,0.1,43.0,0.02,48.0,2.0,a,call
1.6370384332847938,12.0,0.08333333333333333,0.1,44.0,0.02,48.0,2.0,a,call
2.0367117147287206,12.0,0.08333333333333333,0.1,45.0,0.02,48.0,2.0,a,call
2.548259233947557,12.0,0.08333333333333333,0.1,46.0,0.02,48.0,2.0,a,call
3.1094140561056967,12.0,0.08333333333333333,0.1,47.0,0.02,48.0,2.0,a,call
3.6705688782638353,12.0,0.08333333333333333,0.1,48.0,0.02,48.0,2.0,a,call
4.3831288572854215,12.0,0.08333333333333333,0.1,49.0,0.02,48.0,2.0,a,call
5.095688836307006,12.0,0.08333333333333333,0.1,50.0,0.02,48.0,2.0,a,call
5.826048571755752,12.0,0.08333333333333333,0.1,51.0,0.02,48.0,2.0,a,call
6.6595664507233545,12.0,0.08333333333333333,0.1,52.0,0.02,48.0,2.0,a,call
7.493084329690966,12.0,0.08333333333333333,0.1,53.0,0.02,48.0,2.0,a,call
8.336863886646052,12.0,0.08333333333333333,0.1,54.0,0.02,48.0,2.0,a,call
9.252635299235827,12.0,0.08333333333333333,0.1,55.0,0.02,48.0,2.0,a,call
10.168406711825602,12.0,0.08333333333333333,0.1,56.0,0.02,48.0,2.0,a,call
11.084178124415379,12.0,0.08333333333333333,0.1,57.0,0.02,48.0,2.0,a,call
12.043741074101579,12.0,0.08333333333333333,0.1,58.0,0.02,48.0,2.0,a,call
13.006971530304476,12.0,0.08333333333333333,0.1,59.0,0.02,48.0,2.0,a,call
13.970201986507377,12.0,0.08333333333333333,0.1,60.0,0.02,48.0,2.0,a,call
14.945686584953263,12.0,0.08333333333333333,0.1,61.0,0.02,48.0,2.0,a,call
15.932021573675952,12.0,0.08333333333333333,0.1,62.0,0.02,48.0,2.0,a,call
16.918356562398657,12.0,0.08333333333333333,0.1,63.0,0.02,48.0,2.0,a,call
17.90469155112135,12.0,0.08333333333333333,0.1,64.0,0.02,48.0,2.0,a,call
18.899838268386528,12.0,0.08333333333333333,0.1,65.0,0.02,48.0,2.0,a,call
19.8955833503823,12.0,0.08333333333333333,0.1,66.0,0.02,48.0,2.0,a,call
20.891328432378067,12.0,0.08333333333333333,0.1,67.0,0.02,48.0,2.0,a,call
21.887481582466922,12.0,0.08333333333333333,0.1,68.0,0.02,48.0,2.0,a,call
22.886393861918812,12.0,0.08333333333333333,0.1,69.0,0.02,48.0,2.0,a,call
23.885306141370723,12.0,0.08333333333333333,0.1,70.0,0.02,48.0,2.0,a,call
