cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
21.176344900522746,12.0,0.08333333333333333,0.1,50.0,0.02,30.0,2.0,a,call
20.21561440398101,12.0,0.08333333333333333,0.1,50.0,0.02,31.0,2.0,a,call
19.255031076790623,12.0,0.08333333333333333,0.1,50.0,0.02,32.0,2.0,a,call
18.294597826359375,12.0,0.08333333333333333,0.1,50.0,0.02,33.0,2.0,a,call
17.334971966575882,12.0,0.08333333333333333,0.1,50.0,0.02,34.0,2.0,a,call
16.37583543698709,12.0,0.08333333333333333,0.1,50.0,0.02,35.0,2.0,a,call
15.419560053784606,12.0,0.08333333333333333,0.1,50.0,0.02,36.0,2.0,a,call
14.464901885840057,12.0,0.08333333333333333,0.1,50.0,0.02,37.0,2.0,a,call
13.516990818822604,12.0,0.08333333333333333,0.1,50.0,0.02,38.0,2.0,a,call
12.574891907840708,12.0,0.08333333333333333,0.1,50.0,0.02,39.0,2.0,a,call
11.641834988756147,12.0,0.08333333333333333,0.1,50.0,0.02,40.0,2.0,a,call
10.728842793221423,12.0,0.08333333333333333,0.1,50.0,0.02,41.0,2.0,a,call
9.815850597686708,12.0,0.08333333333333333,0.1,50.0,0.02,42.0,2.0,a,call
8.956569110578808,12.0,0.08333333333333333,0.1,50.0,0.02,43.0,2.0,a,call
8.100010935720436,12.0,0.08333333333333333,0.1,50.0,0.02,44.0,2.0,a,call
7.285240896262653,12.0,0.08333333333333333,0.1,50.0,0.02,45.0,2.0,a,call
6.521004161771153,12.0,0.08333333333333333,0.1,50.0,0.02,46.0,2.0,a,call
5.756767427279651,12.0,0.08333333333333333,0.1,50.0,0.02,47.0,2.0,a,call
5.095688836307006,12.0,0.08333333333333333,0.1,50.0,0.02,48.0,2.0,a,call
4.459599042249252,12.0,0.08333333333333333,0.1,50.0,0.02,49.0,2.0,a,call
3.8235092481914967,12.0,0.08333333333333333,0.1,50.0,0.02,50.0,2.0,a,call
3.338824610997188,12.0,0.08333333333333333,0.1,50.0,0.02,51.0,2.0,a,call
2.8541399738028796,12.0,0.08333333333333333,0.1,50.0,0.02,52.0,2.0,a,call
2.3737670854641895,12.0,0.08333333333333333,0.1,50.0,0.02,53.0,2.0,a,call
2.0415048781673564,12.0,0.08333333333333333,0.1,50.0,0.02,54.0,2.0,a,call
1.7092426708705237,12.0,0.08333333333333333,0.1,50.0,0.02,55.0,2.0,a,call
1.376980463573692,12.0,0.08333333333333333,0.1,50.0,0.02,56.0,2.0,a,call
1.1596511265948346,12.0,0.08333333333333333,0.1,50.0,0.02,57.0,2.0,a,call
0.9580011509344832,12.0,0.08333333333333333,0.1,50.0,0.02,58.0,2.0,a,call
0.7563511752741323,12.0,0.08333333333333333,0.1,50.0,0.02,59.0,2.0,a,call
0.60640983084711,12.0,0.08333333333333333,0.1,50.0,0.02,60.0,2.0,a,call
0.4997247103865637,12.0,0.08333333333333333,0.1,50.0,0.02,61.0,2.0,a,call
0.3930395899260175,12.0,0.08333333333333333,0.1,50.0,0.02,62.0,2.0,a,call
0.28698428004610804,12.0,0.08333333333333333,0.1,50.0,0.02,63.0,2.0,a,call
0.23855718447376884,12.0,0.08333333333333333,0.1,50.0,0.02,64.0,2.0,a,call
0.19013008890142954,12.0,0.08333333333333333,0.1,50.0,0.02,65.0,2.0,a,call
0.14170299332909028,12.0,0.08333333333333333,0.1,50.0,0.02,66.0,2.0,a,call
0.10126200293252324,12.0,0.08333333333333333,0.1,50.0,0.02,67.0,2.0,a,call
0.08273462877714033,12.0,0.08333333333333333,0.1,50.0,0.02,68.0,2.0,a,call
0.06420725462175746,12.0,0.08333333333333333,0.1,50.0,0.02,69.0,2.0,a,call
