cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
7.101884218172848,2.0,0.5,0.3,45.0,0.02,48.0,2.0,a,call
7.319072425717865,2.0,0.5,0.3,45.5,0.02,48.0,2.0,a,call
7.536260633262883,2.0,0.5,0.3,46.0,0.02,48.0,2.0,a,call
7.753448840807899,2.0,0.5,0.3,46.5,0.02,48.0,2.0,a,call
7.97063704835292,2.0,0.5,0.3,47.0,0.02,48.0,2.0,a,call
8.187825255897934,2.0,0.5,0.3,47.5,0.02,48.0,2.0,a,call
8.405013463442952,2.0,0.5,0.3,48.0,0.02,48.0,2.0,a,call
8.80111261203065,2.0,0.5,0.3,48.5,0.02,48.0,2.0,a,call
9.197211760618341,2.0,0.5,0.3,49.0,0.02,48.0,2.0,a,call
9.593310909206043,2.0,0.5,0.3,49.5,0.02,48.0,2.0,a,call
9.989410057793735,2.0,0.5,0.3,50.0,0.02,48.0,2.0,a,call
10.385509206381439,2.0,0.5,0.3,50.5,0.02,48.0,2.0,a,call
10.781608354969132,2.0,0.5,0.3,51.0,0.02,48.0,2.0,a,call
11.177707503556826,2.0,0.5,0.3,51.5,0.02,48.0,2.0,a,call
11.573806652144524,2.0,0.5,0.3,52.0,0.02,48.0,2.0,a,call
11.969905800732217,2.0,0.5,0.3,52.5,0.02,48.0,2.0,a,call
12.366004949319914,2.0,0.5,0.3,53.0,0.02,48.0,2.0,a,call
12.762104097907612,2.0,0.5,0.3,53.5,0.02,48.0,2.0,a,call
13.158203246495308,2.0,0.5,0.3,54.0,0.02,48.0,2.0,a,call
13.554302395083004,2.0,0.5,0.3,54.5,0.02,48.0,2.0,a,call
8.603054816884017,2.0,0.5,0.3,45.0,0.02,48.0,2.0,a,put
8.320243024429033,2.0,0.5,0.3,45.5,0.02,48.0,2.0,a,put
8.03743123197405,2.0,0.5,0.3,46.0,0.02,48.0,2.0,a,put
7.754619439519069,2.0,0.5,0.3,46.5,0.02,48.0,2.0,a,put
7.471807647064086,2.0,0.5,0.3,47.0,0.02,48.0,2.0,a,put
7.188995854609104,2.0,0.5,0.3,47.5,0.02,48.0,2.0,a,put
6.906184062154122,2.0,0.5,0.3,48.0,0.02,48.0,2.0,a,put
6.712827740220476,2.0,0.5,0.3,48.5,0.02,48.0,2.0,a,put
6.519471418286836,2.0,0.5,0.3,49.0,0.02,48.0,2.0,a,put
6.3827792510433,2.0,0.5,0.3,49.5,0.02,48.0,2.0,a,put
6.249059909457217,2.0,0.5,0.3,50.0,0.02,48.0,2.0,a,put
6.115340567871133,2.0,0.5,0.3,50.5,0.02,48.0,2.0,a,put
5.981621226285051,2.0,0.5,0.3,51.0,0.02,48.0,2.0,a,put
5.8643399848210755,2.0,0.5,0.3,51.5,0.02,48.0,2.0,a,put
5.760439133408774,2.0,0.5,0.3,52.0,0.02,48.0,2.0,a,put
5.656538281996468,2.0,0.5,0.3,52.5,0.02,48.0,2.0,a,put
5.552637430584165,2.0,0.5,0.3,53.0,0.02,48.0,2.0,a,put
5.44873657917186,2.0,0.5,0.3,53.5,0.02,48.0,2.0,a,put
5.344835727759557,2.0,0.5,0.3,54.0,0.02,48.0,2.0,a,put
5.240934876347254,2.0,0.5,0.3,54.5,0.02,48.0,2.0,a,put
7.101884218172848,2.0,0.5,0.3,45.0,0.02,48.0,2.0,e,call
7.319072425717865,2.0,0.5,0.3,45.5,0.02,48.0,2.0,e,call
7.536260633262883,2.0,0.5,0.3,46.0,0.02,48.0,2.0,e,call
7.753448840807899,2.0,0.5,0.3,46.5,0.02,48.0,2.0,e,call
7.97063704835292,2.0,0.5,0.3,47.0,0.02,48.0,2.0,e,call
8.187825255897934,2.0,0.5,0.3,47.5,0.02,48.0,2.0,e,call
8.405013463442952,2.0,0.5,0.3,48.0,0.02,48.0,2.0,e,call
8.80111261203065,2.0,0.5,0.3,48.5,0.02,48.0,2.0,e,call
9.197211760618341,2.0,0.5,0.3,49.0,0.02,48.0,2.0,e,call
9.593310909206043,2.0,0.5,0.3,49.5,0.02,48.0,2.0,e,call
9.989410057793735,2.0,0.5,0.3,50.0,0.02,48.0,2.0,e,call
10.385509206381439,2.0,0.5,0.3,50.5,0.02,48.0,2.0,e,call
10.781608354969132,2.0,0.5,0.3,51.0,0.02,48.0,2.0,e,call
11.177707503556826,2.0,0.5,0.3,51.5,0.02,48.0,2.0,e,call
11.573806652144524,2.0,0.5,0.3,52.0,0.02,48.0,2.0,e,call
11.969905800732217,2.0,0.5,0.3,52.5,0.02,48.0,2.0,e,call
12.366004949319914,2.0,0.5,0.3,53.0,0.02,48.0,2.0,e,call
12.762104097907612,2.0,0.5,0.3,53.5,0.02,48.0,2.0,e,call
13.158203246495308,2.0,0.5,0.3,54.0,0.02,48.0,2.0,e,call
13.554302395083004,2.0,0.5,0.3,54.5,0.02,48.0,2.0,e,call
8.219777297484384,2.0,0.5,0.3,45.0,0.02,48.0,2.0,e,put
7.936965505029401,2.0,0.5,0.3,45.5,0.02,48.0,2.0,e,put
7.654153712574418,2.0,0.5,0.3,46.0,0.02,48.0,2.0,e,put
7.371341920119438,2.0,0.5,0.3,46.5,0.02,48.0,2.0,e,put
7.088530127664453,2.0,0.5,0.3,47.0,0.02,48.0,2.0,e,put
6.805718335209471,2.0,0.5,0.3,47.5,0.02,48.0,2.0,e,put
6.522906542754489,2.0,0.5,0.3,48.0,0.02,48.0,2.0,e,put
6.419005691342185,2.0,0.5,0.3,48.5,0.02,48.0,2.0,e,put
6.315104839929882,2.0,0.5,0.3,49.0,0.02,48.0,2.0,e,put
6.211203988517577,2.0,0.5,0.3,49.5,0.02,48.0,2.0,e,put
6.107303137105273,2.0,0.5,0.3,50.0,0.02,48.0,2.0,e,put
6.003402285692968,2.0,0.5,0.3,50.5,0.02,48.0,2.0,e,put
5.899501434280666,2.0,0.5,0.3,51.0,0.02,48.0,2.0,e,put
5.79560058286836,2.0,0.5,0.3,51.5,0.02,48.0,2.0,e,put
5.691699731456058,2.0,0.5,0.3,52.0,0.02,48.0,2.0,e,put
5.587798880043754,2.0,0.5,0.3,52.5,0.02,48.0,2.0,e,put
5.483898028631451,2.0,0.5,0.3,53.0,0.02,48.0,2.0,e,put
5.3799971772191455,2.0,0.5,0.3,53.5,0.02,48.0,2.0,e,put
5.276096325806842,2.0,0.5,0.3,54.0,0.02,48.0,2.0,e,put
5.172195474394539,2.0,0.5,0.3,54.5,0.02,48.0,2.0,e,put
