cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
9.989410057793735,2.0,0.5,0.3,50.0,0.02,48.0,2.0,a,call
10.13215555136435,4.0,0.25,0.3,50.0,0.02,48.0,2.0,a,call
10.168996186252011,6.0,0.16666666666666666,0.3,50.0,0.02,48.0,2.0,a,call
10.182815083339134,8.0,0.125,0.3,50.0,0.02,48.0,2.0,a,call
10.188699171353248,10.0,0.1,0.3,50.0,0.02,48.0,2.0,a,call
10.191184966938744,12.0,0.08333333333333333,0.3,50.0,0.02,48.0,2.0,a,call
10.192023842337585,14.0,0.07142857142857142,0.3,50.0,0.02,48.0,2.0,a,call
10.192003000886938,16.0,0.0625,0.3,50.0,0.02,48.0,2.0,a,call
10.191514218242265,18.0,0.05555555555555555,0.3,50.0,0.02,48.0,2.0,a,call
10.190766996167106,20.0,0.05,0.3,50.0,0.02,48.0,2.0,a,call
10.189879327601249,22.0,0.045454545454545456,0.3,50.0,0.02,48.0,2.0,a,call
10.188920189639237,24.0,0.041666666666666664,0.3,50.0,0.02,48.0,2.0,a,call
10.187930948425603,26.0,0.038461538461538464,0.3,50.0,0.02,48.0,2.0,a,call
10.186936786859349,28.0,0.03571428571428571,0.3,50.0,0.02,48.0,2.0,a,call
10.185953099903735,30.0,0.03333333333333333,0.3,50.0,0.02,48.0,2.0,a,call
10.184989214889175,32.0,0.03125,0.3,50.0,0.02,48.0,2.0,a,call
10.184050626349688,34.0,0.029411764705882353,0.3,50.0,0.02,48.0,2.0,a,call
10.18314037495215,36.0,0.027777777777777776,0.3,50.0,0.02,48.0,2.0,a,call
10.182259917531136,38.0,0.02631578947368421,0.3,50.0,0.02,48.0,2.0,a,call
10.181409686270268,40.0,0.025,0.3,50.0,0.02,48.0,2.0,a,call
10.180589453547679,42.0,0.023809523809523808,0.3,50.0,0.02,48.0,2.0,a,call
10.179798572814924,44.0,0.022727272727272728,0.3,50.0,0.02,48.0,2.0,a,call
10.179036139039397,46.0,0.021739130434782608,0.3,50.0,0.02,48.0,2.0,a,call
10.178301096147557,48.0,0.020833333333333332,0.3,50.0,0.02,48.0,2.0,a,call
10.177592309127105,50.0,0.02,0.3,50.0,0.02,48.0,2.0,a,call
10.176908612301986,52.0,0.019230769230769232,0.3,50.0,0.02,48.0,2.0,a,call
10.176248841412223,54.0,0.018518518518518517,0.3,50.0,0.02,48.0,2.0,a,call
10.17561185460524,56.0,0.017857142857142856,0.3,50.0,0.02,48.0,2.0,a,call
10.174996545817033,58.0,0.017241379310344827,0.3,50.0,0.02,48.0,2.0,a,call
10.174401852907371,60.0,0.016666666666666666,0.3,50.0,0.02,48.0,2.0,a,call
10.173826762186968,62.0,0.016129032258064516,0.3,50.0,0.02,48.0,2.0,a,call
10.173270310477617,64.0,0.015625,0.3,50.0,0.02,48.0,2.0,a,call
10.172731585489965,66.0,0.015151515151515152,0.3,50.0,0.02,48.0,2.0,a,call
10.172209725076733,68.0,0.014705882352941176,0.3,50.0,0.02,48.0,2.0,a,call
10.17170391575901,70.0,0.014285714285714285,0.3,50.0,0.02,48.0,2.0,a,call
10.171213390784896,72.0,0.013888888888888888,0.3,50.0,0.02,48.0,2.0,a,call
10.17073742792089,74.0,0.013513513513513514,0.3,50.0,0.02,48.0,2.0,a,call
10.170275347116265,76.0,0.013157894736842105,0.3,50.0,0.02,48.0,2.0,a,call
10.1698265081106,78.0,0.01282051282051282,0.3,50.0,0.02,48.0,2.0,a,call
10.169390308071023,80.0,0.0125,0.3,50.0,0.02,48.0,2.0,a,call
10.168966179287803,82.0,0.012195121951219513,0.3,50.0,0.02,48.0,2.0,a,call
10.168553586957755,84.0,0.011904761904761904,0.3,50.0,0.02,48.0,2.0,a,call
10.168152027072425,86.0,0.011627906976744186,0.3,50.0,0.02,48.0,2.0,a,call
10.167761024419802,88.0,0.011363636363636364,0.3,50.0,0.02,48.0,2.0,a,call
10.167380130702435,90.0,0.011111111111111112,0.3,50.0,0.02,48.0,2.0,a,call
10.167008922774082,92.0,0.010869565217391304,0.3,50.0,0.02,48.0,2.0,a,call
10.166647000990116,94.0,0.010638297872340425,0.3,50.0,0.02,48.0,2.0,a,call
10.166293987668189,96.0,0.010416666666666666,0.3,50.0,0.02,48.0,2.0,a,call
10.165949525652803,98.0,0.01020408163265306,0.3,50.0,0.02,48.0,2.0,a,call
6.249059909457217,2.0,0.5,0.3,50.0,0.02,48.0,2.0,a,put
6.399918038399855,4.0,0.25,0.3,50.0,0.02,48.0,2.0,a,put
6.443082330989034,6.0,0.16666666666666666,0.3,50.0,0.02,48.0,2.0,a,put
6.458132303024932,8.0,0.125,0.3,50.0,0.02,48.0,2.0,a,put
6.4670593581162885,10.0,0.1,0.3,50.0,0.02,48.0,2.0,a,put
6.470605309499672,12.0,0.08333333333333333,0.3,50.0,0.02,48.0,2.0,a,put
6.471849487072202,14.0,0.07142857142857142,0.3,50.0,0.02,48.0,2.0,a,put
6.4717426345602185,16.0,0.0625,0.3,50.0,0.02,48.0,2.0,a,put
6.472006767048872,18.0,0.05555555555555555,0.3,50.0,0.02,48.0,2.0,a,put
6.471741666240106,20.0,0.05,0.3,50.0,0.02,48.0,2.0,a,put
6.471100162330878,22.0,0.045454545454545456,0.3,50.0,0.02,48.0,2.0,a,put
6.470420387396495,24.0,0.041666666666666664,0.3,50.0,0.02,48.0,2.0,a,put
6.469603584151159,26.0,0.038461538461538464,0.3,50.0,0.02,48.0,2.0,a,put
6.46864434270103,28.0,0.03571428571428571,0.3,50.0,0.02,48.0,2.0,a,put
6.467667109716833,30.0,0.03333333333333333,0.3,50.0,0.02,48.0,2.0,a,put
6.466746699656043,32.0,0.03125,0.3,50.0,0.02,48.0,2.0,a,put
6.465904725644842,34.0,0.029411764705882353,0.3,50.0,0.02,48.0,2.0,a,put
6.465203018763333,36.0,0.027777777777777776,0.3,50.0,0.02,48.0,2.0,a,put
6.4643997789824645,38.0,0.02631578947368421,0.3,50.0,0.02,48.0,2.0,a,put
6.463618565518323,40.0,0.025,0.3,50.0,0.02,48.0,2.0,a,put
6.462870161253198,42.0,0.023809523809523808,0.3,50.0,0.02,48.0,2.0,a,put
6.462183702879149,44.0,0.022727272727272728,0.3,50.0,0.02,48.0,2.0,a,put
6.461494275696515,46.0,0.021739130434782608,0.3,50.0,0.02,48.0,2.0,a,put
6.460813300396816,48.0,0.020833333333333332,0.3,50.0,0.02,48.0,2.0,a,put
6.460152863142568,50.0,0.02,0.3,50.0,0.02,48.0,2.0,a,put
6.459517446605993,52.0,0.019230769230769232,0.3,50.0,0.02,48.0,2.0,a,put
6.458865170097729,54.0,0.018518518518518517,0.3,50.0,0.02,48.0,2.0,a,put
6.458247589223211,56.0,0.017857142857142856,0.3,50.0,0.02,48.0,2.0,a,put
6.45766316606392,58.0,0.017241379310344827,0.3,50.0,0.02,48.0,2.0,a,put
6.457105705888892,60.0,0.016666666666666666,0.3,50.0,0.02,48.0,2.0,a,put
6.456557244189753,62.0,0.016129032258064516,0.3,50.0,0.02,48.0,2.0,a,put
6.4560186839271845,64.0,0.015625,0.3,50.0,0.02,48.0,2.0,a,put
6.455515365341016,66.0,0.015151515151515152,0.3,50.0,0.02,48.0,2.0,a,put
6.455026164749865,68.0,0.014705882352941176,0.3,50.0,0.02,48.0,2.0,a,put
6.4545685147116565,70.0,0.014285714285714285,0.3,50.0,0.02,48.0,2.0,a,put
6.454110241539094,72.0,0.013888888888888888,0.3,50.0,0.02,48.0,2.0,a,put
6.453664161190573,74.0,0.013513513513513514,0.3,50.0,0.02,48.0,2.0,a,put
6.453228984642345,76.0,0.013157894736842105,0.3,50.0,0.02,48.0,2.0,a,put
6.452809805691868,78.0,0.01282051282051282,0.3,50.0,0.02,48.0,2.0,a,put
6.452406545434242,80.0,0.0125,0.3,50.0,0.02,48.0,2.0,a,put
6.452023066466866,82.0,0.012195121951219513,0.3,50.0,0.02,48.0,2.0,a,put
6.451645352152636,84.0,0.011904761904761904,0.3,50.0,0.02,48.0,2.0,a,put
6.451268010792178,86.0,0.011627906976744186,0.3,50.0,0.02,48.0,2.0,a,put
6.450907671236197,88.0,0.011363636363636364,0.3,50.0,0.02,48.0,2.0,a,put
6.450547460993404,90.0,0.011111111111111112,0.3,50.0,0.02,48.0,2.0,a,put
6.450192279669658,92.0,0.010869565217391304,0.3,50.0,0.02,48.0,2.0,a,put
6.4498460544034355,94.0,0.010638297872340425,0.3,50.0,0.02,48.0,2.0,a,put
6.449511077602091,96.0,0.010416666666666666,0.3,50.0,0.02,48.0,2.0,a,put
6.449186696438663,98.0,0.01020408163265306,0.3,50.0,0.02,48.0,2.0,a,put
9.989410057793735,2.0,0.5,0.3,50.0,0.02,48.0,2.0,e,call
10.13215555136435,4.0,0.25,0.3,50.0,0.02,48.0,2.0,e,call
10.168996186252011,6.0,0.16666666666666666,0.3,50.0,0.02,48.0,2.0,e,call
10.182815083339134,8.0,0.125,0.3,50.0,0.02,48.0,2.0,e,call
10.188699171353248,10.0,0.1,0.3,50.0,0.02,48.0,2.0,e,call
10.191184966938744,12.0,0.08333333333333333,0.3,50.0,0.02,48.0,2.0,e,call
10.192023842337585,14.0,0.07142857142857142,0.3,50.0,0.02,48.0,2.0,e,call
10.192003000886938,16.0,0.0625,0.3,50.0,0.02,48.0,2.0,e,call
10.191514218242265,18.0,0.05555555555555555,0.3,50.0,0.02,48.0,2.0,e,call
10.190766996167106,20.0,0.05,0.3,50.0,0.02,48.0,2.0,e,call
10.189879327601249,22.0,0.045454545454545456,0.3,50.0,0.02,48.0,2.0,e,call
10.188920189639237,24.0,0.041666666666666664,0.3,50.0,0.02,48.0,2.0,e,call
10.187930948425603,26.0,0.038461538461538464,0.3,50.0,0.02,48.0,2.0,e,call
10.186936786859349,28.0,0.03571428571428571,0.3,50.0,0.02,48.0,2.0,e,call
10.185953099903735,30.0,0.03333333333333333,0.3,50.0,0.02,48.0,2.0,e,call
10.184989214889175,32.0,0.03125,0.3,50.0,0.02,48.0,2.0,e,call
10.184050626349688,34.0,0.029411764705882353,0.3,50.0,0.02,48.0,2.0,e,call
10.18314037495215,36.0,0.027777777777777776,0.3,50.0,0.02,48.0,2.0,e,call
10.182259917531136,38.0,0.02631578947368421,0.3,50.0,0.02,48.0,2.0,e,call
10.181409686270268,40.0,0.025,0.3,50.0,0.02,48.0,2.0,e,call
10.180589453547679,42.0,0.023809523809523808,0.3,50.0,0.02,48.0,2.0,e,call
10.179798572814924,44.0,0.022727272727272728,0.3,50.0,0.02,48.0,2.0,e,call
10.179036139039397,46.0,0.021739130434782608,0.3,50.0,0.02,48.0,2.0,e,call
10.178301096147557,48.0,0.020833333333333332,0.3,50.0,0.02,48.0,2.0,e,call
10.177592309127105,50.0,0.02,0.3,50.0,0.02,48.0,2.0,e,call
10.176908612301986,52.0,0.019230769230769232,0.3,50.0,0.02,48.0,2.0,e,call
10.176248841412223,54.0,0.018518518518518517,0.3,50.0,0.02,48.0,2.0,e,call
10.17561185460524,56.0,0.017857142857142856,0.3,50.0,0.02,48.0,2.0,e,call
10.174996545817033,58.0,0.017241379310344827,0.3,50.0,0.02,48.0,2.0,e,call
10.174401852907371,60.0,0.016666666666666666,0.3,50.0,0.02,48.0,2.0,e,call
10.173826762186968,62.0,0.016129032258064516,0.3,50.0,0.02,48.0,2.0,e,call
10.173270310477617,64.0,0.015625,0.3,50.0,0.02,48.0,2.0,e,call
10.172731585489965,66.0,0.015151515151515152,0.3,50.0,0.02,48.0,2.0,e,call
10.172209725076733,68.0,0.014705882352941176,0.3,50.0,0.02,48.0,2.0,e,call
10.17170391575901,70.0,0.014285714285714285,0.3,50.0,0.02,48.0,2.0,e,call
10.171213390784896,72.0,0.013888888888888888,0.3,50.0,0.02,48.0,2.0,e,call
10.17073742792089,74.0,0.013513513513513514,0.3,50.0,0.02,48.0,2.0,e,call
10.170275347116265,76.0,0.013157894736842105,0.3,50.0,0.02,48.0,2.0,e,call
10.1698265081106,78.0,0.01282051282051282,0.3,50.0,0.02,48.0,2.0,e,call
10.169390308071023,80.0,0.0125,0.3,50.0,0.02,48.0,2.0,e,call
10.168966179287803,82.0,0.012195121951219513,0.3,50.0,0.02,48.0,2.0,e,call
10.168553586957755,84.0,0.011904761904761904,0.3,50.0,0.02,48.0,2.0,e,call
10.168152027072425,86.0,0.011627906976744186,0.3,50.0,0.02,48.0,2.0,e,call
10.167761024419802,88.0,0.011363636363636364,0.3,50.0,0.02,48.0,2.0,e,call
10.167380130702435,90.0,0.011111111111111112,0.3,50.0,0.02,48.0,2.0,e,call
10.167008922774082,92.0,0.010869565217391304,0.3,50.0,0.02,48.0,2.0,e,call
10.166647000990116,94.0,0.010638297872340425,0.3,50.0,0.02,48.0,2.0,e,call
10.166293987668189,96.0,0.010416666666666666,0.3,50.0,0.02,48.0,2.0,e,call
10.165949525652803,98.0,0.01020408163265306,0.3,50.0,0.02,48.0,2.0,e,call
6.107303137105273,2.0,0.5,0.3,50.0,0.02,48.0,2.0,e,put
6.250048630675903,4.0,0.25,0.3,50.0,0.02,48.0,2.0,e,put
