cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
7.1489335015506725,2.0,0.5,0.3,50.0,0.02,48.0,1.0,a,call
9.989410057793735,2.0,0.5,0.3,50.0,0.02,48.0,2.0,a,call
12.194749790941588,2.0,0.5,0.3,50.0,0.02,48.0,3.0,a,call
14.061234981430406,2.0,0.5,0.3,50.0,0.02,48.0,4.0,a,call
15.704683040394052,2.0,0.5,0.3,50.0,0.02,48.0,5.0,a,call
17.184937648738305,2.0,0.5,0.3,50.0,0.02,48.0,6.0,a,call
18.537910689768534,2.0,0.5,0.3,50.0,0.02,48.0,7.0,a,call
19.78729005760118,2.0,0.5,0.3,50.0,0.02,48.0,8.0,a,call
20.949759010705097,2.0,0.5,0.3,50.0,0.02,48.0,9.0,a,call
22.03764811059451,2.0,0.5,0.3,50.0,0.02,48.0,10.0,a,call
23.060414562884365,2.0,0.5,0.3,50.0,0.02,48.0,11.0,a,call
24.025527591913725,2.0,0.5,0.3,50.0,0.02,48.0,12.0,a,call
24.939028325824335,2.0,0.5,0.3,50.0,0.02,48.0,13.0,a,call
25.805899907414585,2.0,0.5,0.3,50.0,0.02,48.0,14.0,a,call
26.630321259266925,2.0,0.5,0.3,50.0,0.02,48.0,15.0,a,call
27.415846492177515,2.0,0.5,0.3,50.0,0.02,48.0,16.0,a,call
28.16553509845073,2.0,0.5,0.3,50.0,0.02,48.0,17.0,a,call
28.88204858125131,2.0,0.5,0.3,50.0,0.02,48.0,18.0,a,call
29.56772359375438,2.0,0.5,0.3,50.0,0.02,48.0,19.0,a,call
30.224628262323318,2.0,0.5,0.3,50.0,0.02,48.0,20.0,a,call
30.85460622917603,2.0,0.5,0.3,50.0,0.02,48.0,21.0,a,call
31.459311566425832,2.0,0.5,0.3,50.0,0.02,48.0,22.0,a,call
32.04023679600455,2.0,0.5,0.3,50.0,0.02,48.0,23.0,a,call
32.598735628180364,2.0,0.5,0.3,50.0,0.02,48.0,24.0,a,call
33.13604160152564,2.0,0.5,0.3,50.0,0.02,48.0,25.0,a,call
33.65328350467665,2.0,0.5,0.3,50.0,0.02,48.0,26.0,a,call
34.15149824385619,2.0,0.5,0.3,50.0,0.02,48.0,27.0,a,call
34.631641663070866,2.0,0.5,0.3,50.0,0.02,48.0,28.0,a,call
35.09459770833691,2.0,0.5,0.3,50.0,0.02,48.0,29.0,a,call
35.541186241201856,2.0,0.5,0.3,50.0,0.02,48.0,30.0,a,call
35.97216974195826,2.0,0.5,0.3,50.0,0.02,48.0,31.0,a,call
36.38825909354013,2.0,0.5,0.3,50.0,0.02,48.0,32.0,a,call
36.79011859909318,2.0,0.5,0.3,50.0,0.02,48.0,33.0,a,call
37.17837035671378,2.0,0.5,0.3,50.0,0.02,48.0,34.0,a,call
37.55359809175895,2.0,0.5,0.3,50.0,0.02,48.0,35.0,a,call
37.916350528905596,2.0,0.5,0.3,50.0,0.02,48.0,36.0,a,call
38.26714437164629,2.0,0.5,0.3,50.0,0.02,48.0,37.0,a,call
38.60646694530519,2.0,0.5,0.3,50.0,0.02,48.0,38.0,a,call
38.93477855030421,2.0,0.5,0.3,50.0,0.02,48.0,39.0,a,call
39.25251456482164,2.0,0.5,0.3,50.0,0.02,48.0,40.0,a,call
39.560087329795216,2.0,0.5,0.3,50.0,0.02,48.0,41.0,a,call
39.85788784414057,2.0,0.5,0.3,50.0,0.02,48.0,42.0,a,call
40.14628729386601,2.0,0.5,0.3,50.0,0.02,48.0,43.0,a,call
40.42563843529003,2.0,0.5,0.3,50.0,0.02,48.0,44.0,a,call
40.696276849673204,2.0,0.5,0.3,50.0,0.02,48.0,45.0,a,call
40.95852208415461,2.0,0.5,0.3,50.0,0.02,48.0,46.0,a,call
41.212678691846385,2.0,0.5,0.3,50.0,0.02,48.0,47.0,a,call
41.45903718222212,2.0,0.5,0.3,50.0,0.02,48.0,48.0,a,call
41.69787489147903,2.0,0.5,0.3,50.0,0.02,48.0,49.0,a,call
41.92945678131509,2.0,0.5,0.3,50.0,0.02,48.0,50.0,a,call
42.15403617350576,2.0,0.5,0.3,50.0,0.02,48.0,51.0,a,call
42.37185542675892,2.0,0.5,0.3,50.0,0.02,48.0,52.0,a,call
42.583146561549,2.0,0.5,0.3,50.0,0.02,48.0,53.0,a,call
42.78813183795986,2.0,0.5,0.3,50.0,0.02,48.0,54.0,a,call
42.98702429098586,2.0,0.5,0.3,50.0,0.02,48.0,55.0,a,call
43.1800282272375,2.0,0.5,0.3,50.0,0.02,48.0,56.0,a,call
43.36733968655956,2.0,0.5,0.3,50.0,0.02,48.0,57.0,a,call
43.54914687168852,2.0,0.5,0.3,50.0,0.02,48.0,58.0,a,call
43.7256305487414,2.0,0.5,0.3,50.0,0.02,48.0,59.0,a,call
43.896964421035705,2.0,0.5,0.3,50.0,0.02,48.0,60.0,a,call
44.06331547848277,2.0,0.5,0.3,50.0,0.02,48.0,61.0,a,call
44.22484432456985,2.0,0.5,0.3,50.0,0.02,48.0,62.0,a,call
44.3817054827462,2.0,0.5,0.3,50.0,0.02,48.0,63.0,a,call
44.53404768385123,2.0,0.5,0.3,50.0,0.02,48.0,64.0,a,call
44.68201413606554,2.0,0.5,0.3,50.0,0.02,48.0,65.0,a,call
44.82574277872612,2.0,0.5,0.3,50.0,0.02,48.0,66.0,a,call
44.965366521222236,2.0,0.5,0.3,50.0,0.02,48.0,67.0,a,call
45.10101346807839,2.0,0.5,0.3,50.0,0.02,48.0,68.0,a,call
45.23280713123028,2.0,0.5,0.3,50.0,0.02,48.0,69.0,a,call
45.36086663041204,2.0,0.5,0.3,50.0,0.02,48.0,70.0,a,call
45.485306882492495,2.0,0.5,0.3,50.0,0.02,48.0,71.0,a,call
45.606238780527036,2.0,0.5,0.3,50.0,0.02,48.0,72.0,a,call
45.723769363226765,2.0,0.5,0.3,50.0,0.02,48.0,73.0,a,call
45.83800197548882,2.0,0.5,0.3,50.0,0.02,48.0,74.0,a,call
45.94903642057894,2.0,0.5,0.3,50.0,0.02,48.0,75.0,a,call
46.05696910451003,2.0,0.5,0.3,50.0,0.02,48.0,76.0,a,call
46.16189317311728,2.0,0.5,0.3,50.0,0.02,48.0,77.0,a,call
46.26389864229142,2.0,0.5,0.3,50.0,0.02,48.0,78.0,a,call
46.3630725217962,2.0,0.5,0.3,50.0,0.02,48.0,79.0,a,call
46.459498933063855,2.0,0.5,0.3,50.0,0.02,48.0,80.0,a,call
46.55325922133299,2.0,0.5,0.3,50.0,0.02,48.0,81.0,a,call
46.64443206246635,2.0,0.5,0.3,50.0,0.02,48.0,82.0,a,call
46.733093564761575,2.0,0.5,0.3,50.0,0.02,48.0,83.0,a,call
46.81931736604556,2.0,0.5,0.3,50.0,0.02,48.0,84.0,a,call
46.903174726322476,2.0,0.5,0.3,50.0,0.02,48.0,85.0,a,call
