cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
21.824799430445616,2.0,0.5,0.3,50.0,0.02,30.0,2.0,a,call
20.939434455389144,2.0,0.5,0.3,50.0,0.02,31.0,2.0,a,call
20.054069480332675,2.0,0.5,0.3,50.0,0.02,32.0,2.0,a,call
19.245817808098693,2.0,0.5,0.3,50.0,0.02,33.0,2.0,a,call
18.628723958078364,2.0,0.5,0.3,50.0,0.02,34.0,2.0,a,call
18.011630108058032,2.0,0.5,0.3,50.0,0.02,35.0,2.0,a,call
17.3945362580377,2.0,0.5,0.3,50.0,0.02,36.0,2.0,a,call
16.777442408017375,2.0,0.5,0.3,50.0,0.02,37.0,2.0,a,call
16.160348557997043,2.0,0.5,0.3,50.0,0.02,38.0,2.0,a,call
15.543254707976713,2.0,0.5,0.3,50.0,0.02,39.0,2.0,a,call
14.926160857956381,2.0,0.5,0.3,50.0,0.02,40.0,2.0,a,call
14.30906700793605,2.0,0.5,0.3,50.0,0.02,41.0,2.0,a,call
13.691973157915719,2.0,0.5,0.3,50.0,0.02,42.0,2.0,a,call
13.074879307895383,2.0,0.5,0.3,50.0,0.02,43.0,2.0,a,call
12.457785457875056,2.0,0.5,0.3,50.0,0.02,44.0,2.0,a,call
11.84069160785473,2.0,0.5,0.3,50.0,0.02,45.0,2.0,a,call
11.223597757834398,2.0,0.5,0.3,50.0,0.02,46.0,2.0,a,call
10.606503907814066,2.0,0.5,0.3,50.0,0.02,47.0,2.0,a,call
9.989410057793735,2.0,0.5,0.3,50.0,0.02,48.0,2.0,a,call
9.372316207773409,2.0,0.5,0.3,50.0,0.02,49.0,2.0,a,call
8.755222357753075,2.0,0.5,0.3,50.0,0.02,50.0,2.0,a,call
8.495950389818102,2.0,0.5,0.3,50.0,0.02,51.0,2.0,a,call
8.236678421883127,2.0,0.5,0.3,50.0,0.02,52.0,2.0,a,call
7.977406453948154,2.0,0.5,0.3,50.0,0.02,53.0,2.0,a,call
7.718134486013181,2.0,0.5,0.3,50.0,0.02,54.0,2.0,a,call
7.458862518078206,2.0,0.5,0.3,50.0,0.02,55.0,2.0,a,call
7.199590550143234,2.0,0.5,0.3,50.0,0.02,56.0,2.0,a,call
6.940318582208259,2.0,0.5,0.3,50.0,0.02,57.0,2.0,a,call
6.681046614273285,2.0,0.5,0.3,50.0,0.02,58.0,2.0,a,call
6.421774646338313,2.0,0.5,0.3,50.0,0.02,59.0,2.0,a,call
6.162502678403339,2.0,0.5,0.3,50.0,0.02,60.0,2.0,a,call
5.903230710468367,2.0,0.5,0.3,50.0,0.02,61.0,2.0,a,call
5.643958742533392,2.0,0.5,0.3,50.0,0.02,62.0,2.0,a,call
5.3846867745984195,2.0,0.5,0.3,50.0,0.02,63.0,2.0,a,call
5.125414806663444,2.0,0.5,0.3,50.0,0.02,64.0,2.0,a,call
4.866142838728471,2.0,0.5,0.3,50.0,0.02,65.0,2.0,a,call
4.606870870793497,2.0,0.5,0.3,50.0,0.02,66.0,2.0,a,call
4.347598902858524,2.0,0.5,0.3,50.0,0.02,67.0,2.0,a,call
4.0883269349235505,2.0,0.5,0.3,50.0,0.02,68.0,2.0,a,call
3.829054966988577,2.0,0.5,0.3,50.0,0.02,69.0,2.0,a,call
3.569782999053604,2.0,0.5,0.3,50.0,0.02,70.0,2.0,a,call
3.3105110311186294,2.0,0.5,0.3,50.0,0.02,71.0,2.0,a,call
3.0512390631836563,2.0,0.5,0.3,50.0,0.02,72.0,2.0,a,call
2.791967095248683,2.0,0.5,0.3,50.0,0.02,73.0,2.0,a,call
2.532695127313709,2.0,0.5,0.3,50.0,0.02,74.0,2.0,a,call
2.2734231593787353,2.0,0.5,0.3,50.0,0.02,75.0,2.0,a,call
2.0141511914437618,2.0,0.5,0.3,50.0,0.02,76.0,2.0,a,call
1.8772165286840627,2.0,0.5,0.3,50.0,0.02,77.0,2.0,a,call
1.8300624724025987,2.0,0.5,0.3,50.0,0.02,78.0,2.0,a,call
1.7829084161211348,2.0,0.5,0.3,50.0,0.02,79.0,2.0,a,call
21.939563599793196,4.0,0.25,0.3,50.0,0.02,30.0,2.0,a,call
21.145494413845764,4.0,0.25,0.3,50.0,0.02,31.0,2.0,a,call
20.35142522789833,4.0,0.25,0.3,50.0,0.02,32.0,2.0,a,call
19.557356041950893,4.0,0.25,0.3,50.0,0.02,33.0,2.0,a,call
18.763286856003464,4.0,0.25,0.3,50.0,0.02,34.0,2.0,a,call
17.969217670056025,4.0,0.25,0.3,50.0,0.02,35.0,2.0,a,call
17.175148484108597,4.0,0.25,0.3,50.0,0.02,36.0,2.0,a,call
16.381079298161154,4.0,0.25,0.3,50.0,0.02,37.0,2.0,a,call
15.804559137646802,4.0,0.25,0.3,50.0,0.02,38.0,2.0,a,call
15.237318779018551,4.0,0.25,0.3,50.0,0.02,39.0,2.0,a,call
14.670078420390311,4.0,0.25,0.3,50.0,0.02,40.0,2.0,a,call
14.102838061762064,4.0,0.25,0.3,50.0,0.02,41.0,2.0,a,call
13.535597703133813,4.0,0.25,0.3,50.0,0.02,42.0,2.0,a,call
12.968357344505575,4.0,0.25,0.3,50.0,0.02,43.0,2.0,a,call
12.401116985877328,4.0,0.25,0.3,50.0,0.02,44.0,2.0,a,call
11.833876627249087,4.0,0.25,0.3,50.0,0.02,45.0,2.0,a,call
11.266636268620841,4.0,0.25,0.3,50.0,0.02,46.0,2.0,a,call
10.699395909992596,4.0,0.25,0.3,50.0,0.02,47.0,2.0,a,call
10.13215555136435,4.0,0.25,0.3,50.0,0.02,48.0,2.0,a,call
9.564915192736104,4.0,0.25,0.3,50.0,0.02,49.0,2.0,a,call
8.997674834107862,4.0,0.25,0.3,50.0,0.02,50.0,2.0,a,call
8.691339264376145,4.0,0.25,0.3,50.0,0.02,51.0,2.0,a,call
8.385003694644421,4.0,0.25,0.3,50.0,0.02,52.0,2.0,a,call
8.078668124912701,4.0,0.25,0.3,50.0,0.02,53.0,2.0,a,call
7.772332555180978,4.0,0.25,0.3,50.0,0.02,54.0,2.0,a,call
7.465996985449257,4.0,0.25,0.3,50.0,0.02,55.0,2.0,a,call
7.159661415717534,4.0,0.25,0.3,50.0,0.02,56.0,2.0,a,call
6.853325845985815,4.0,0.25,0.3,50.0,0.02,57.0,2.0,a,call
6.546990276254095,4.0,0.25,0.3,50.0,0.02,58.0,2.0,a,call
6.240654706522371,4.0,0.25,0.3,50.0,0.02,59.0,2.0,a,call
5.934319136790652,4.0,0.25,0.3,50.0,0.02,60.0,2.0,a,call
5.627983567058927,4.0,0.25,0.3,50.0,0.02,61.0,2.0,a,call
5.321647997327207,4.0,0.25,0.3,50.0,0.02,62.0,2.0,a,call
5.015312427595486,4.0,0.25,0.3,50.0,0.02,63.0,2.0,a,call
4.708976857863764,4.0,0.25,0.3,50.0,0.02,64.0,2.0,a,call
4.402641288132043,4.0,0.25,0.3,50.0,0.02,65.0,2.0,a,call
4.096305718400321,4.0,0.25,0.3,50.0,0.02,66.0,2.0,a,call
3.7899701486686,4.0,0.25,0.3,50.0,0.02,67.0,2.0,a,call
3.581022446248665,4.0,0.25,0.3,50.0,0.02,68.0,2.0,a,call
3.4667508138530243,4.0,0.25,0.3,50.0,0.02,69.0,2.0,a,call
3.3524791814573827,4.0,0.25,0.3,50.0,0.02,70.0,2.0,a,call
3.2382075490617392,4.0,0.25,0.3,50.0,0.02,71.0,2.0,a,call
3.1239359166660976,4.0,0.25,0.3,50.0,0.02,72.0,2.0,a,call
3.0096642842704555,4.0,0.25,0.3,50.0,0.02,73.0,2.0,a,call
2.8953926518748125,4.0,0.25,0.3,50.0,0.02,74.0,2.0,a,call
2.7811210194791705,4.0,0.25,0.3,50.0,0.02,75.0,2.0,a,call
2.666849387083528,4.0,0.25,0.3,50.0,0.02,76.0,2.0,a,call
2.552577754687885,4.0,0.25,0.3,50.0,0.02,77.0,2.0,a,call
2.4383061222922433,4.0,0.25,0.3,50.0,0.02,78.0,2.0,a,call
2.324034489896601,4.0,0.25,0.3,50.0,0.02,79.0,2.0,a,call
21.847863717996507,6.0,0.16666666666666666,0.3,50.0,0.02,30.0,2.0,a,call
21.02265577003222,6.0,0.16666666666666666,0.3,50.0,0.02,31.0,2.0,a,call
20.281256524537184,6.0,0.16666666666666666,0.3,50.0,0.02,32.0,2.0,a,call
19.53985727904215,6.0,0.16666666666666666,0.3,50.0,0.02,33.0,2.0,a,call
18.798458033547124,6.0,0.16666666666666666,0.3,50.0,0.02,34.0,2.0,a,call
18.057058788052093,6.0,0.16666666666666666,0.3,50.0,0.02,35.0,2.0,a,call
17.315659542557064,6.0,0.16666666666666666,0.3,50.0,0.02,36.0,2.0,a,call
16.574260297062033,6.0,0.16666666666666666,0.3,50.0,0.02,37.0,2.0,a,call
15.832861051567006,6.0,0.16666666666666666,0.3,50.0,0.02,38.0,2.0,a,call
15.091461806071973,6.0,0.16666666666666666,0.3,50.0,0.02,39.0,2.0,a,call
14.520434495125153,6.0,0.16666666666666666,0.3,50.0,0.02,40.0,2.0,a,call
13.976504706516012,6.0,0.16666666666666666,0.3,50.0,0.02,41.0,2.0,a,call
13.432574917906866,6.0,0.16666666666666666,0.3,50.0,0.02,42.0,2.0,a,call
12.888645129297723,6.0,0.16666666666666666,0.3,50.0,0.02,43.0,2.0,a,call
12.344715340688579,6.0,0.16666666666666666,0.3,50.0,0.02,44.0,2.0,a,call
11.800785552079441,6.0,0.16666666666666666,0.3,50.0,0.02,45.0,2.0,a,call
11.256855763470295,6.0,0.16666666666666666,0.3,50.0,0.02,46.0,2.0,a,call
10.712925974861154,6.0,0.16666666666666666,0.3,50.0,0.02,47.0,2.0,a,call
10.168996186252011,6.0,0.16666666666666666,0.3,50.0,0.02,48.0,2.0,a,call
9.62506639764287,6.0,0.16666666666666666,0.3,50.0,0.02,49.0,2.0,a,call
9.081136609033726,6.0,0.16666666666666666,0.3,50.0,0.02,50.0,2.0,a,call
8.752451342186493,6.0,0.16666666666666666,0.3,50.0,0.02,51.0,2.0,a,call
8.423766075339255,6.0,0.16666666666666666,0.3,50.0,0.02,52.0,2.0,a,call
8.095080808492028,6.0,0.16666666666666666,0.3,50.0,0.02,53.0,2.0,a,call
7.766395541644793,6.0,0.16666666666666666,0.3,50.0,0.02,54.0,2.0,a,call
7.437710274797559,6.0,0.16666666666666666,0.3,50.0,0.02,55.0,2.0,a,call
7.109025007950328,6.0,0.16666666666666666,0.3,50.0,0.02,56.0,2.0,a,call
6.780339741103094,6.0,0.16666666666666666,0.3,50.0,0.02,57.0,2.0,a,call
6.4516544742558635,6.0,0.16666666666666666,0.3,50.0,0.02,58.0,2.0,a,call
6.1229692074086275,6.0,0.16666666666666666,0.3,50.0,0.02,59.0,2.0,a,call
5.794283940561394,6.0,0.16666666666666666,0.3,50.0,0.02,60.0,2.0,a,call
5.465598673714163,6.0,0.16666666666666666,0.3,50.0,0.02,61.0,2.0,a,call
5.136913406866931,6.0,0.16666666666666666,0.3,50.0,0.02,62.0,2.0,a,call
4.808228140019697,6.0,0.16666666666666666,0.3,50.0,0.02,63.0,2.0,a,call
4.500605861873337,6.0,0.16666666666666666,0.3,50.0,0.02,64.0,2.0,a,call
4.344294175580751,6.0,0.16666666666666666,0.3,50.0,0.02,65.0,2.0,a,call
4.187982489288162,6.0,0.16666666666666666,0.3,50.0,0.02,66.0,2.0,a,call
4.031670802995575,6.0,0.16666666666666666,0.3,50.0,0.02,67.0,2.0,a,call
3.8753591167029873,6.0,0.16666666666666666,0.3,50.0,0.02,68.0,2.0,a,call
3.719047430410399,6.0,0.16666666666666666,0.3,50.0,0.02,69.0,2.0,a,call
3.562735744117812,6.0,0.16666666666666666,0.3,50.0,0.02,70.0,2.0,a,call
3.406424057825224,6.0,0.16666666666666666,0.3,50.0,0.02,71.0,2.0,a,call
3.2501123715326363,6.0,0.16666666666666666,0.3,50.0,0.02,72.0,2.0,a,call
3.093800685240048,6.0,0.16666666666666666,0.3,50.0,0.02,73.0,2.0,a,call
2.9374889989474604,6.0,0.16666666666666666,0.3,50.0,0.02,74.0,2.0,a,call
2.7811773126548727,6.0,0.16666666666666666,0.3,50.0,0.02,75.0,2.0,a,call
2.6248656263622863,6.0,0.16666666666666666,0.3,50.0,0.02,76.0,2.0,a,call
2.468553940069697,6.0,0.16666666666666666,0.3,50.0,0.02,77.0,2.0,a,call
2.31224225377711,6.0,0.16666666666666666,0.3,50.0,0.02,78.0,2.0,a,call
2.1559305674845217,6.0,0.16666666666666666,0.3,50.0,0.02,79.0,2.0,a,call
21.918967339962688,8.0,0.125,0.3,50.0,0.02,30.0,2.0,a,call
21.08139735613832,8.0,0.125,0.3,50.0,0.02,31.0,2.0,a,call
20.24382737231397,8.0,0.125,0.3,50.0,0.02,32.0,2.0,a,call
19.443958467079252,8.0,0.125,0.3,50.0,0.02,33.0,2.0,a,call
18.737547575112234,8.0,0.125,0.3,50.0,0.02,34.0,2.0,a,call
18.031136683145217,8.0,0.125,0.3,50.0,0.02,35.0,2.0,a,call
17.324725791178203,8.0,0.125,0.3,50.0,0.02,36.0,2.0,a,call
16.61831489921119,8.0,0.125,0.3,50.0,0.02,37.0,2.0,a,call
15.911904007244177,8.0,0.125,0.3,50.0,0.02,38.0,2.0,a,call
15.20549311527716,8.0,0.125,0.3,50.0,0.02,39.0,2.0,a,call
14.499082223310147,8.0,0.125,0.3,50.0,0.02,40.0,2.0,a,call
13.891088214207885,8.0,0.125,0.3,50.0,0.02,41.0,2.0,a,call
13.361334909798062,8.0,0.125,0.3,50.0,0.02,42.0,2.0,a,call
12.831581605388243,8.0,0.125,0.3,50.0,0.02,43.0,2.0,a,call
12.301828300978421,8.0,0.125,0.3,50.0,0.02,44.0,2.0,a,call
11.772074996568596,8.0,0.125,0.3,50.0,0.02,45.0,2.0,a,call
11.242321692158775,8.0,0.125,0.3,50.0,0.02,46.0,2.0,a,call
10.712568387748956,8.0,0.125,0.3,50.0,0.02,47.0,2.0,a,call
10.182815083339134,8.0,0.125,0.3,50.0,0.02,48.0,2.0,a,call
9.653061778929313,8.0,0.125,0.3,50.0,0.02,49.0,2.0,a,call
9.1233084745195,8.0,0.125,0.3,50.0,0.02,50.0,2.0,a,call
8.78093237328087,8.0,0.125,0.3,50.0,0.02,51.0,2.0,a,call
8.438556272042248,8.0,0.125,0.3,50.0,0.02,52.0,2.0,a,call
8.09618017080362,8.0,0.125,0.3,50.0,0.02,53.0,2.0,a,call
7.753804069564997,8.0,0.125,0.3,50.0,0.02,54.0,2.0,a,call
7.411427968326371,8.0,0.125,0.3,50.0,0.02,55.0,2.0,a,call
7.0690518670877465,8.0,0.125,0.3,50.0,0.02,56.0,2.0,a,call
6.72667576584912,8.0,0.125,0.3,50.0,0.02,57.0,2.0,a,call
6.3842996646104915,8.0,0.125,0.3,50.0,0.02,58.0,2.0,a,call
6.041923563371868,8.0,0.125,0.3,50.0,0.02,59.0,2.0,a,call
5.699547462133242,8.0,0.125,0.3,50.0,0.02,60.0,2.0,a,call
5.357171360894616,8.0,0.125,0.3,50.0,0.02,61.0,2.0,a,call
5.043759483295151,8.0,0.125,0.3,50.0,0.02,62.0,2.0,a,call
4.8584182755481224,8.0,0.125,0.3,50.0,0.02,63.0,2.0,a,call
