cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
1.0414526159038024,2.0,0.5,0.3,30.0,0.02,48.0,2.0,a,call
1.1516141931509383,2.0,0.5,0.3,31.0,0.02,48.0,2.0,a,call
1.454990822002391,2.0,0.5,0.3,32.0,0.02,48.0,2.0,a,call
1.8893672370924262,2.0,0.5,0.3,33.0,0.02,48.0,2.0,a,call
2.3237436521824617,2.0,0.5,0.3,34.0,0.02,48.0,2.0,a,call
2.7581200672724946,2.0,0.5,0.3,35.0,0.02,48.0,2.0,a,call
3.19249648236253,2.0,0.5,0.3,36.0,0.02,48.0,2.0,a,call
3.626872897452567,2.0,0.5,0.3,37.0,0.02,48.0,2.0,a,call
4.0612493125426035,2.0,0.5,0.3,38.0,0.02,48.0,2.0,a,call
4.495625727632639,2.0,0.5,0.3,39.0,0.02,48.0,2.0,a,call
4.930002142722672,2.0,0.5,0.3,40.0,0.02,48.0,2.0,a,call
5.364378557812707,2.0,0.5,0.3,41.0,0.02,48.0,2.0,a,call
5.798754972902744,2.0,0.5,0.3,42.0,0.02,48.0,2.0,a,call
6.233131387992778,2.0,0.5,0.3,43.0,0.02,48.0,2.0,a,call
6.667507803082811,2.0,0.5,0.3,44.0,0.02,48.0,2.0,a,call
7.101884218172848,2.0,0.5,0.3,45.0,0.02,48.0,2.0,a,call
7.536260633262883,2.0,0.5,0.3,46.0,0.02,48.0,2.0,a,call
7.97063704835292,2.0,0.5,0.3,47.0,0.02,48.0,2.0,a,call
8.405013463442952,2.0,0.5,0.3,48.0,0.02,48.0,2.0,a,call
9.197211760618341,2.0,0.5,0.3,49.0,0.02,48.0,2.0,a,call
9.989410057793735,2.0,0.5,0.3,50.0,0.02,48.0,2.0,a,call
10.781608354969132,2.0,0.5,0.3,51.0,0.02,48.0,2.0,a,call
11.573806652144524,2.0,0.5,0.3,52.0,0.02,48.0,2.0,a,call
12.366004949319914,2.0,0.5,0.3,53.0,0.02,48.0,2.0,a,call
13.158203246495308,2.0,0.5,0.3,54.0,0.02,48.0,2.0,a,call
13.950401543670703,2.0,0.5,0.3,55.0,0.02,48.0,2.0,a,call
14.742599840846093,2.0,0.5,0.3,56.0,0.02,48.0,2.0,a,call
15.534798138021483,2.0,0.5,0.3,57.0,0.02,48.0,2.0,a,call
16.32699643519687,2.0,0.5,0.3,58.0,0.02,48.0,2.0,a,call
17.11919473237226,2.0,0.5,0.3,59.0,0.02,48.0,2.0,a,call
17.911393029547657,2.0,0.5,0.3,60.0,0.02,48.0,2.0,a,call
