sredni_czas,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
1.5622377395629884e-05,1,1.0,0.03,50,0.02,48,2,a,call
1.5622377395629884e-05,3,0.3333333333333333,0.03,50,0.02,48,2,a,call
1.564145088195801e-05,5,0.2,0.03,50,0.02,48,2,a,call
3.1247377395629884e-05,7,0.14285714285714285,0.03,50,0.02,48,2,a,call
3.122568130493164e-05,9,0.1111111111111111,0.03,50,0.02,48,2,a,call
4.825663566589355e-05,11,0.09090909090909091,0.03,50,0.02,48,2,a,call
6.246137619018555e-05,13,0.07692307692307693,0.03,50,0.02,48,2,a,call
7.810544967651368e-05,15,0.06666666666666667,0.03,50,0.02,48,2,a,call
7.81102180480957e-05,17,0.058823529411764705,0.03,50,0.02,48,2,a,call
0.00010297679901123047,19,0.05263157894736842,0.03,50,0.02,48,2,a,call
0.00013260746002197266,21,0.047619047619047616,0.03,50,0.02,48,2,a,call
0.00018772149085998535,23,0.043478260869565216,0.03,50,0.02,48,2,a,call
0.00017385005950927733,25,0.04,0.03,50,0.02,48,2,a,call
0.00018572354316711426,27,0.037037037037037035,0.03,50,0.02,48,2,a,call
0.00021689987182617188,29,0.034482758620689655,0.03,50,0.02,48,2,a,call
0.00023432183265686035,31,0.03225806451612903,0.03,50,0.02,48,2,a,call
0.00029472589492797853,33,0.030303030303030304,0.03,50,0.02,48,2,a,call
0.00037393832206726076,35,0.02857142857142857,0.03,50,0.02,48,2,a,call
0.00034383630752563476,37,0.02702702702702703,0.03,50,0.02,48,2,a,call
0.000367365837097168,39,0.02564102564102564,0.03,50,0.02,48,2,a,call
0.0004480218887329102,41,0.024390243902439025,0.03,50,0.02,48,2,a,call
0.0004978137016296387,43,0.023255813953488372,0.03,50,0.02,48,2,a,call
0.0005326330661773682,45,0.022222222222222223,0.03,50,0.02,48,2,a,call
0.0006661403179168701,47,0.02127659574468085,0.03,50,0.02,48,2,a,call
0.0007682268619537354,49,0.02040816326530612,0.03,50,0.02,48,2,a,call
0.0007922766208648682,51,0.0196078431372549,0.03,50,0.02,48,2,a,call
0.0006432778835296631,53,0.018867924528301886,0.03,50,0.02,48,2,a,call
0.0006677772998809814,55,0.01818181818181818,0.03,50,0.02,48,2,a,call
0.0007610232830047608,57,0.017543859649122806,0.03,50,0.02,48,2,a,call
0.0008595666885375977,59,0.01694915254237288,0.03,50,0.02,48,2,a,call
0.0009502260684967041,61,0.01639344262295082,0.03,50,0.02,48,2,a,call
0.0009752383232116699,63,0.015873015873015872,0.03,50,0.02,48,2,a,call
0.0009594080448150635,65,0.015384615384615385,0.03,50,0.02,48,2,a,call
0.0010538513660430908,67,0.014925373134328358,0.03,50,0.02,48,2,a,call
0.0011392464637756347,69,0.014492753623188406,0.03,50,0.02,48,2,a,call
0.0011342744827270508,71,0.014084507042253521,0.03,50,0.02,48,2,a,call
0.0013924188613891602,73,0.0136986301369863,0.03,50,0.02,48,2,a,call
0.0013990213871002198,75,0.013333333333333334,0.03,50,0.02,48,2,a,call
